Date,Open,High,Low,Close*,Adj Close**,Volume
11/12/2019,3089.28,3102.61,3084.73,3091.84,3091.84,3466010000
11/11/2019,3080.33,3088.33,3075.82,3087.01,3087.01,3035530000
11/8/2019,3081.25,3093.09,3073.58,3093.08,3093.08,3499150000
11/7/2019,3087.02,3097.77,3080.23,3085.18,3085.18,4144640000
11/6/2019,3075.1,3078.34,3065.89,3076.78,3076.78,4458190000
11/5/2019,3080.8,3083.95,3072.15,3074.62,3074.62,4486130000
11/4/2019,3078.96,3085.2,3074.87,3078.27,3078.27,4146850000
11/1/2019,3050.72,3066.95,3050.72,3066.91,3066.91,3930200000
10/31/2019,3046.9,3046.9,3023.19,3037.56,3037.56,4139280000
10/30/2019,3039.74,3050.1,3025.96,3046.77,3046.77,3776030000
10/29/2019,3035.39,3047.87,3034.81,3036.89,3036.89,3589930000
10/28/2019,3032.12,3044.08,3032.12,3039.42,3039.42,3521230000
10/25/2019,3003.32,3027.39,3001.94,3022.55,3022.55,3370370000
10/24/2019,3014.78,3016.07,3000.42,3010.29,3010.29,3692600000
10/23/2019,2994.01,3004.78,2991.21,3004.52,3004.52,3392870000
10/22/2019,3010.73,3014.57,2995.04,2995.99,2995.99,3523890000
10/21/2019,2996.48,3007.33,2995.35,3006.72,3006.72,3271620000
10/18/2019,2996.84,3000,2976.31,2986.2,2986.2,3264290000
10/17/2019,3000.77,3008.29,2991.79,2997.95,2997.95,3115960000
10/16/2019,2989.68,2997.54,2985.2,2989.69,2989.69,3222570000
10/15/2019,2973.61,3003.28,2973.61,2995.68,2995.68,3340740000
10/14/2019,2965.81,2972.84,2962.94,2966.15,2966.15,2557020000
10/11/2019,2963.07,2993.28,2963.07,2970.27,2970.27,3580460000
